day,new_cases
2018-01-01,37789.0
2018-01-02,37074.0
2018-01-03,36359.0
2018-01-04,35644.0
2018-01-05,34929.0
2018-01-06,34214.0
2018-01-07,33499.0
2018-01-08,32784.0
2018-01-09,32069.0
2018-01-10,31354.0
2018-01-11,30639.0
2018-01-12,29924.0
2018-01-13,29209.0
2018-01-14,28494.0
2018-01-15,27779.0
2018-01-16,27064.0
2018-01-17,26349.0
2018-01-18,25634.0
2018-01-19,24919.0
2018-01-20,24204.0
2018-01-21,23489.0
2018-01-22,22774.0
2018-01-23,22059.0
2018-01-24,21344.0
2018-01-25,20629.0
2018-01-26,19914.0
2018-01-27,19199.0
2018-01-28,18484.0
2018-01-29,17769.0
2018-01-30,17054.0
2018-01-31,16339.0
2018-02-01,15624.0
2018-02-02,16188.25
2018-02-03,16752.5
2018-02-04,17316.75
2018-02-05,17881.0
2018-02-06,18445.25
2018-02-07,19009.5
2018-02-08,19573.75
2018-02-09,20138.0
2018-02-10,20702.25
2018-02-11,21266.5
2018-02-12,21830.75
2018-02-13,22395.0
2018-02-14,22959.25
2018-02-15,23523.5
2018-02-16,24087.75
2018-02-17,24652.0
2018-02-18,25216.25
2018-02-19,25780.5
2018-02-20,26344.75
2018-02-21,26909.0
2018-02-22,27473.25
2018-02-23,28037.5
2018-02-24,28601.75
2018-02-25,29166.0
2018-02-26,29730.25
2018-02-27,30294.5
2018-02-28,30858.75
2018-03-01,31423.0
2018-03-02,31923.483870967742
2018-03-03,32423.967741935485
2018-03-04,32924.45161290323
2018-03-05,33424.93548387097
2018-03-06,33925.41935483871
2018-03-07,34425.903225806454
2018-03-08,34926.3870967742
2018-03-09,35426.87096774194
2018-03-10,35927.35483870968
2018-03-11,36427.83870967742
2018-03-12,36928.32258064516
2018-03-13,37428.8064516129
2018-03-14,37929.290322580644
2018-03-15,38429.77419354839
2018-03-16,38930.25806451613
2018-03-17,39430.74193548387
2018-03-18,39931.22580645161
2018-03-19,40431.709677419356
2018-03-20,40932.1935483871
